"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1610","1. Успешный логин с существующим пользователем","","Mon Sep 22 00:36:09 MSK 2025","passed","Mon Sep 22 00:36:10 MSK 2025","","Логин пользователя","api.users.UserLoginTest","login_success_200_hasAccessToken"
"","1010","2. Авторизованный пользователь может изменить name","","Mon Sep 22 00:36:14 MSK 2025","passed","Mon Sep 22 00:36:15 MSK 2025","","Изменение данных пользователя","api.users.UserUpdateTest","patch_withAuth_200_changeName"
"","1386","1. Создание заказа с авторизацией и ингредиентами (200)","","Mon Sep 22 00:36:19 MSK 2025","failed","Mon Sep 22 00:36:21 MSK 2025","","Создание заказов (авторизованный пользователь)","api.orders.OrderCreateAuthTest","createOrder_auth_withIngredients_200"
"","130","5. Создание пользователя без имени — ошибка 403","","Mon Sep 22 00:36:13 MSK 2025","passed","Mon Sep 22 00:36:13 MSK 2025","","Создание пользователя","api.users.UserCreateTest","createUser_noName_403"
"","206","3. Создание заказа без ингредиентов — ошибка 400","","Mon Sep 22 00:36:23 MSK 2025","passed","Mon Sep 22 00:36:23 MSK 2025","","Создание заказов (неавторизованный пользователь)","api.orders.OrderCreateNoAuthTest","createOrder_noIngredients_400"
"","959","3. Авторизованный пользователь может изменить password","","Mon Sep 22 00:36:15 MSK 2025","passed","Mon Sep 22 00:36:16 MSK 2025","","Изменение данных пользователя","api.users.UserUpdateTest","patch_withAuth_200_changePassword"
"","189","4. Создание заказа с неверным хешем ингредиентов — ошибка 500 (но сейчас 400)","","Mon Sep 22 00:36:23 MSK 2025","failed","Mon Sep 22 00:36:23 MSK 2025","","Создание заказов (неавторизованный пользователь)","api.orders.OrderCreateNoAuthTest","createOrder_invalidIngredientHash_500"
"","975","5. Неавторизованный пользователь не может изменить name (401)","","Mon Sep 22 00:36:17 MSK 2025","passed","Mon Sep 22 00:36:18 MSK 2025","","Изменение данных пользователя","api.users.UserUpdateTest","patch_noAuth_401_changeName"
"","137","3. Создание пользователя без email — ошибка 403","","Mon Sep 22 00:36:13 MSK 2025","passed","Mon Sep 22 00:36:13 MSK 2025","","Создание пользователя","api.users.UserCreateTest","createUser_noEmail_403"
"","445","2. Создание заказа без авторизации, но с ингредиентами (200)","","Mon Sep 22 00:36:23 MSK 2025","failed","Mon Sep 22 00:36:23 MSK 2025","","Создание заказов (неавторизованный пользователь)","api.orders.OrderCreateNoAuthTest","createOrder_noAuth_withIngredients_200"
"","961","4. Неавторизованный пользователь не может изменить email (401)","","Mon Sep 22 00:36:16 MSK 2025","passed","Mon Sep 22 00:36:17 MSK 2025","","Изменение данных пользователя","api.users.UserUpdateTest","patch_noAuth_401_changeEmail"
"","146","1. Получение списка ингредиентов (200)","","Mon Sep 22 00:36:22 MSK 2025","passed","Mon Sep 22 00:36:23 MSK 2025","","Создание заказов (неавторизованный пользователь)","api.orders.OrderCreateNoAuthTest","ingredients_get_200"
"","1019","1. Авторизованный пользователь может изменить email","","Mon Sep 22 00:36:13 MSK 2025","passed","Mon Sep 22 00:36:14 MSK 2025","","Изменение данных пользователя","api.users.UserUpdateTest","patch_withAuth_200_changeEmail"
"","209","1. Неавторизованный пользователь не может получить список заказов (401)","","Mon Sep 22 00:36:22 MSK 2025","passed","Mon Sep 22 00:36:22 MSK 2025","","Получение заказов (неавторизованный пользователь)","api.orders.OrderGetNoAuthTest","userOrders_noAuth_401"
"","1025","6. Неавторизованный пользователь не может изменить password (401)","","Mon Sep 22 00:36:18 MSK 2025","passed","Mon Sep 22 00:36:19 MSK 2025","","Изменение данных пользователя","api.users.UserUpdateTest","patch_noAuth_401_changePassword"
"","1530","1. Авторизованный пользователь получает список заказов (200)","","Mon Sep 22 00:36:21 MSK 2025","passed","Mon Sep 22 00:36:22 MSK 2025","","Получение заказов (авторизованный пользователь)","api.orders.OrderGetAuthTest","userOrders_authorized_200"
"","933","2. Создание пользователя с существующим email — ошибка 403","","Mon Sep 22 00:36:12 MSK 2025","passed","Mon Sep 22 00:36:13 MSK 2025","","Создание пользователя","api.users.UserCreateTest","createUser_existingEmail_403"
"","133","4. Создание пользователя без пароля — ошибка 403","","Mon Sep 22 00:36:13 MSK 2025","passed","Mon Sep 22 00:36:13 MSK 2025","","Создание пользователя","api.users.UserCreateTest","createUser_noPassword_403"
"","801","1. Успешное создание нового пользователя (200)","","Mon Sep 22 00:36:11 MSK 2025","passed","Mon Sep 22 00:36:12 MSK 2025","","Создание пользователя","api.users.UserCreateTest","createUser_200"
"","963","2. Ошибка логина с неверными данными (401)","","Mon Sep 22 00:36:10 MSK 2025","passed","Mon Sep 22 00:36:11 MSK 2025","","Логин пользователя","api.users.UserLoginTest","login_wrongCreds_401"
